overall_episode,season,episode_in_season,season_episode_code,title,synopsis,theme_tags,episode_type,is_retired,primary_country,all_countries,region,primary_destination,iso2,flag,lat,long,geo_match,original_air_date,air_year,air_month,air_weekday,days_since_premiere,gap_since_prev_episode_d,imdb_tconst,imdb_url,imdb_rating,imdb_votes,imdb_rating_shrunk,imdb_low_votes,image_url,image_source,best_summary,summary_source,best_runtime,watch_url,tvmaze_url,tvmaze_id
11,1,11,S01E11,London: Royal and Rambunctious,"A stop in London includes the new British Library, the changing of the guard and a cruise on the Thames to Kew Gardens.",History & Heritage,Standard,Yes,United Kingdom,United Kingdom,British Isles,London,GB,🇬🇧,51.5074456,-0.1277653,full,2000-11-12,2000,Nov,Sun,70,7,tt1455957,https://www.imdb.com/title/tt1455957/,7.5,11,7.668476821192053,FALSE,https://i.ytimg.com/vi/Z4EQdSgKXlQ/hqdefault.jpg,ricksteves.com,"Getting up to date in London, we jog with locals in Hyde Park, marvel at cultural treasures in the Victoria and Albert Museum, and nibble through a trendy East End food tour before luxuriating over afternoon tea. Then we celebrate London's regeneration as it turns industrial wastelands into inviting commercial zones and skyscrapers come with ""garden in the sky"" viewing platforms.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/london,https://www.tvmaze.com/episodes/525249/rick-steves-europe-1x11-uk-london-royal-and-rambunctious,525249
12,1,12,S01E12,Slovenia and Croatia,"Tours of Dubrovnik, a seaport in Croatia, and Ljubljana, the capital of Slovenia.",Modern Life & Urban,Standard,Yes,Slovenia,Slovenia; Croatia,Balkans,Slovenia and Croatia,SI,🇸🇮,46.1199444,14.8153333,simple,2000-11-19,2000,Nov,Sun,77,7,tt1455960,https://www.imdb.com/title/tt1455960/,NA,NA,7.745695364238411,TRUE,https://i1.ytimg.com/vi/I8DlXa_933Y/maxresdefault.jpg,ricksteves.com,"Little Slovenia is Europe's most underrated alpine country. From the prosperous capital of Ljubljana, we enjoy the mountain resort of Lake Bled, venture into the Julian Alps for natural thrills mixed with WWI history, go spelunking in a gigantic cave, and swim with Slavs in a charming Adriatic port.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/slovenia,https://www.tvmaze.com/episodes/525250/rick-steves-europe-1x12-slovenia-and-croatia,525250
13,1,13,S01E13,The Best of Sicily,"Enjoying the best of Sicily, from fishing for anchovies off Cefalu to Palermo to the enchanting ruins of Segesta.",History & Heritage,Standard,Yes,Italy,Italy,Mediterranean,Sicily,IT,🇮🇹,37.587794,14.155048,full,2000-11-26,2000,Nov,Sun,84,7,tt1455962,https://www.imdb.com/title/tt1455962/,7.3,13,7.589099695722211,FALSE,NA,NA,"Enjoying the best of Sicily, from fishing for anchovies off Cefalu to Palermo to the enchanting ruins of Segesta.",synopsis,26,NA,https://www.tvmaze.com/episodes/525251/rick-steves-europe-1x13-the-best-of-sicily,525251
14,1,14,S01E14,Travel Skills Special: Part I,"Tips on how to travel smoothly and affordably. Shot on location in London, Paris, Amsterdam, Venice, the Rhine and Swiss Alps.",Nature & Outdoors; Travel Logistics,Travel Skills,Yes,Multiple,Multiple,Multi-Region,Various,ZZ,🌍,NA,NA,NA,2000-12-03,2000,Dec,Sun,91,7,tt1455963,https://www.imdb.com/title/tt1455963/,7.5,12,7.663796909492273,FALSE,NA,NA,"Tips on how to travel smoothly and affordably. Shot on location in London, Paris, Amsterdam, Venice, the Rhine and Swiss Alps.",synopsis,26,NA,https://www.tvmaze.com/episodes/525252/rick-steves-europe-1x14-travel-skills-1,525252
15,1,15,S01E15,Travel Skills Special: Part II,"Tips on how to travel smoothly and affordably. Shot on location in London, Paris, Amsterdam, Venice, the Rhine and Swiss Alps.",Nature & Outdoors; Travel Logistics,Travel Skills,Yes,Multiple,Multiple,Multi-Region,Various,ZZ,🌍,NA,NA,NA,2000-12-10,2000,Dec,Sun,98,7,tt1458302,https://www.imdb.com/title/tt1458302/,7.1,11,7.542762535477768,FALSE,NA,NA,"Tips on how to travel smoothly and affordably. Shot on location in London, Paris, Amsterdam, Venice, the Rhine and Swiss Alps.",synopsis,26,NA,https://www.tvmaze.com/episodes/525253/rick-steves-europe-1x15-travel-skills-2,525253
16,1,16,S01E16,Travel Skills Special: Part III,"Tips on how to travel smoothly and affordably. Shot on location in London, Paris, Amsterdam, Venice, the Rhine and Swiss Alps.",Nature & Outdoors; Travel Logistics,Travel Skills,Yes,Multiple,Multiple,Multi-Region,Various,ZZ,🌍,NA,NA,NA,2000-12-17,2000,Dec,Sun,105,7,tt1458303,https://www.imdb.com/title/tt1458303/,6.8,10,7.467549668874172,FALSE,NA,NA,"Tips on how to travel smoothly and affordably. Shot on location in London, Paris, Amsterdam, Venice, the Rhine and Swiss Alps.",synopsis,26,NA,https://www.tvmaze.com/episodes/525254/rick-steves-europe-1x16-travel-skills-3,525254
17,2,1,S02E01,"Venice: Serene, Decadent, and Still Kicking","Exploring Venice, from the Grand Canal and Doge's Palace to a cafe on St. Mark's Square and a canal-side pub.",Art & Architecture; Modern Life & Urban,Standard,Yes,Italy,Italy,Mediterranean,Venice,IT,🇮🇹,45.4046171,12.3105232,full,2002-09-07,2002,Sep,Sat,734,629,tt1453781,https://www.imdb.com/title/tt1453781/,7.4,13,7.624234830857347,FALSE,NA,NA,"Exploring Venice, from the Grand Canal and Doge's Palace to a cafe on St. Mark's Square and a canal-side pub.",synopsis,26,NA,https://www.tvmaze.com/episodes/525257/rick-steves-europe-2x01-venice-serene-decadent-and-still-kicking,525257
18,2,2,S02E02,Venice Side-Trips: The Best of the Veneto,"Venice, Italy; lagoon speedboat tour; anatomy theater; restoring Giotto frescoes in Scrovegni Chapel; Colosseum; mosaics.",History & Heritage,Standard,Yes,Italy,Italy,Mediterranean,Veneto,IT,🇮🇹,45.6476663,11.8665254,full,2002-09-14,2002,Sep,Sat,741,7,tt1453780,https://www.imdb.com/title/tt1453780/,7,11,7.511333964049196,FALSE,NA,NA,"Venice, Italy; lagoon speedboat tour; anatomy theater; restoring Giotto frescoes in Scrovegni Chapel; Colosseum; mosaics.",synopsis,26,NA,https://www.tvmaze.com/episodes/525258/rick-steves-europe-2x02-venice-side-trips-the-best-of-veneto,525258
19,2,3,S02E03,Florence: City of Art,"Florence, Italy; Michelangelo's David; Botticelli's Venus; Uffizi art gallery; perfumery; Vespa; converted monastery.",Art & Architecture; History & Heritage; Religion & Spirituality; Modern Life & Urban,Standard,Yes,Italy,Italy,Mediterranean,Florence,IT,🇮🇹,43.7697955,11.2556404,full,2002-09-21,2002,Sep,Sat,748,7,tt1453770,https://www.imdb.com/title/tt1453770/,7.2,12,7.563796909492273,FALSE,NA,NA,"Florence, Italy; Michelangelo's David; Botticelli's Venus; Uffizi art gallery; perfumery; Vespa; converted monastery.",synopsis,26,NA,https://www.tvmaze.com/episodes/525259/rick-steves-europe-2x03-florence-city-of-art,525259
20,2,4,S02E04,Siena and Assisi: Italy's Grand Hill Towns,"Siena, Italy; medieval hospital; cathedral; bakery; Chianti region; Slow Food Movement; Assisi, Italy; St. Francis' tomb.",Food & Cuisine; Art & Architecture; History & Heritage; Religion & Spirituality,Standard,Yes,Italy,Italy,Mediterranean,Siena and Assisi,IT,🇮🇹,43.1672059,11.467561,simple,2002-09-28,2002,Sep,Sat,755,7,tt1453777,https://www.imdb.com/title/tt1453777/,7,16,7.4474172185430465,FALSE,https://static.tvmaze.com/uploads/images/original_untouched/252/630547.jpg,tvmaze,"Siena, Italy; medieval hospital; cathedral; bakery; Chianti region; Slow Food Movement; Assisi, Italy; St. Francis' tomb.",synopsis,26,NA,https://www.tvmaze.com/episodes/525260/rick-steves-europe-2x04-siena-and-assisi-italys-grand-hill-towns,525260
21,2,5,S02E05,Cinque Terre: Italy's Hidden Riviera,Village life in five port towns includes fishing for anchovies at midnight; a side trip to Carrara's quarries.,NA,Standard,Yes,Italy,Italy,Mediterranean,Cinque Terre,IT,🇮🇹,44.1222144,9.7132501,full,2002-10-05,2002,Oct,Sat,762,7,tt1453769,https://www.imdb.com/title/tt1453769/,7.3,14,7.58149180899268,FALSE,NA,NA,Village life in five port towns includes fishing for anchovies at midnight; a side trip to Carrara's quarries.,synopsis,26,NA,https://www.tvmaze.com/episodes/525261/rick-steves-europe-2x05-cinque-terre-italys-hidden-riviera,525261
22,2,6,S02E06,Amsterdam and Dutch Side Trips,"Amsterdam, Netherlands; Rembrandt; Holocaust memorials; hiking dikes; windmills; flower market.",Food & Cuisine; Art & Architecture; History & Heritage; Nature & Outdoors,Standard,Yes,Netherlands,Netherlands,Western Europe,Amsterdam,NL,🇳🇱,52.3730796,4.8924534,full,2002-10-12,2002,Oct,Sat,769,7,tt1456765,https://www.imdb.com/title/tt1456765/,8,11,7.82561967833491,FALSE,NA,NA,"Amsterdam, Netherlands; Rembrandt; Holocaust memorials; hiking dikes; windmills; flower market.",synopsis,26,NA,https://www.tvmaze.com/episodes/525262/rick-steves-europe-2x06-amsterdam-and-dutch-side-trips,525262
23,2,7,S02E07,Prague and the Czech Republic,Prague; beer; castles; pedestrian bridge; town of Kutna Hora; silver mine; chapel decorated with bones.,Food & Cuisine; History & Heritage; Industry & Crafts,Standard,Yes,Czech Republic,Czech Republic,Eastern Europe,Prague,CZ,🇨🇿,50.0874654,14.4212535,full,2002-10-19,2002,Oct,Sat,776,7,tt1456767,https://www.imdb.com/title/tt1456767/,7.8,12,7.763796909492275,FALSE,NA,NA,Prague; beer; castles; pedestrian bridge; town of Kutna Hora; silver mine; chapel decorated with bones.,synopsis,26,NA,https://www.tvmaze.com/episodes/525263/rick-steves-europe-2x07-prague-and-the-czech-republic,525263
24,2,8,S02E08,Dublin and Mystical Side Trips,"Dublin, Ireland; castle; jail; Trinity College; the Book of Kells; Temple Bar; Celtic music; monastery; Wicklow Mountains.",History & Heritage; Nature & Outdoors; Religion & Spirituality; Music & Festivals,Standard,No,Ireland,Ireland,British Isles,Dublin,IE,🇮🇪,53.3493795,-6.2605593,full,2002-11-24,2002,Nov,Sun,812,36,tt1456766,https://www.imdb.com/title/tt1456766/,7.4,21,7.584370860927152,FALSE,https://i1.ytimg.com/vi/heH309H9Krs/maxresdefault.jpg,ricksteves.com,"Dublin's story is of feast and famine — from its 18th-century Golden Age to its 20th-century struggles for independence to its boomtime today. We explore the town's foreboding castle and patriotic jail, plus Trinity College with its Book of Kells. Later we party in Temple Bar, awash in Celtic music and Guinness. We side-trip to the prehistoric necropolis of Newgrange and the medieval monastery at Glendalough, deep in the scenic Wicklow Mountains.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/dublin,https://www.tvmaze.com/episodes/525264/rick-steves-europe-2x08-dublin-and-mystical-sidetrips,525264
25,2,9,S02E09,South Ireland: Waterford to the Ring of Kerry,Waterford's crystal factory; the Kennedy family homestead; Dunbrody famine ship; Kinsale's star-shaped fortresses.,Food & Cuisine; Industry & Crafts,Standard,No,Ireland,Ireland,British Isles,South Ireland,IE,🇮🇪,38.4131074,-86.9980566,full,2002-12-01,2002,Dec,Sun,819,7,tt1456768,https://www.imdb.com/title/tt1456768/,7.5,23,7.625461462589827,FALSE,https://i1.ytimg.com/vi/OVWzUc4cQ6c/maxresdefault.jpg,ricksteves.com,"We find the icons of Ireland strewn along its fascinating south coast: Waterford's much-loved crystal factory, the Dunbrody Famine Ship, and Kinsale's star-shaped fortresses. After kissing the Blarney Stone, we visit elegant Muckross House. Then we savor the scenic charms of the Emerald Isle by driving the Ring of Kerry.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/south-ireland-waterford-to-the-ring-of-kerry,https://www.tvmaze.com/episodes/525265/rick-steves-europe-2x09-south-ireland-waterford-to-the-ring-of-kerry,525265
26,2,10,S02E10,"The Best of West Ireland: Dingle, Galway, and the Aran Islands",Ireland; Aran Islands; Gaelic; medieval folk banquet; Dingle Peninsula.,Food & Cuisine; History & Heritage; Nature & Outdoors,Standard,No,Ireland,Ireland,British Isles,West Ireland,IE,🇮🇪,38.4131074,-86.9980566,full,2002-12-08,2002,Dec,Sun,826,7,tt1456769,https://www.imdb.com/title/tt1456769/,7.6,20,7.679470198675497,FALSE,https://i1.ytimg.com/vi/hYa8nOB2_3s/maxresdefault.jpg,ricksteves.com,"Deepest Ireland is best experienced on its Gaelic-speaking west coast, where the rugged villages have changed little over the generations. After exploring the remote Aran Islands, we visit Galway, chase a friendly dolphin, and delve into the scenic Dingle Peninsula. Ringing with music from its rustic pubs and dotted with prehistoric forts, this region is something special. If you're to fall in love with Ireland, chances are it'll be right here.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/best-of-west-ireland,https://www.tvmaze.com/episodes/525266/rick-steves-europe-2x10-the-best-of-west-ireland-dingle-galway-and-the-aran-islands,525266
27,2,11,S02E11,"Berlin: Resilient, Reunited & Reborn","Exploring Berlin, including Reichstag's new glass dome, a modern-day cabaret and Potsdamer Platz.",Music & Festivals; Modern Life & Urban; Industry & Crafts,Standard,Yes,Germany,Germany,Western Europe,Berlin,DE,🇩🇪,52.5173885,13.3951309,full,2002-12-15,2002,Dec,Sun,833,7,tt1457629,https://www.imdb.com/title/tt1457629/,7.6,11,7.699905392620625,FALSE,https://i.ytimg.com/vi/RK5Ku1YtUKY/maxresdefault.jpg,ricksteves.com,"A tumultuous 20th century left Berlin filled with powerful sights — from evocative memorials, to surviving bits of its communist and fascist days, to its glass-domed Reichstag. We enjoy its now-trendy east side, its people-friendly riverfront, and its vibrant social scene. Reunited Berlin — perhaps the fastest changing and most happening city in Europe — is entertaining more visitors than ever.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/berlin,https://www.tvmaze.com/episodes/525267/rick-steves-europe-2x11-berlin-resilient-reunited-and-reborn,525267
28,2,12,S02E12,Germany's Romantic Rhine and Rothenburg,Germany; the Rhine River; castles; wine; walled town of Rothenburg; wood carving.,Food & Cuisine; Nature & Outdoors,Standard,No,Germany,Germany,Western Europe,Rhine and Rothenburg,DE,🇩🇪,50.4693743,7.3499986,simple,2002-12-22,2002,Dec,Sun,840,7,tt1457631,https://www.imdb.com/title/tt1457631/,7.7,24,7.722847682119205,FALSE,https://i1.ytimg.com/vi/uD9b7mP6whk/maxresdefault.jpg,ricksteves.com,"Cruising the Rhine River, we dodge riverboat traffic and the legendary Loreley. After climbing castles and descending into dungeons, we relax with Rhine wine. We tour Burg Eltz — a lived-in castle where the noble lady still puts out fresh flowers. Then we enter the walled town of Rothenburg for Germany's best wood carving, a vivid dose of medieval punishment, and a tour with the night watchman of the town's lamp-lit ramparts. 
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/germanys-romantic-rhine-and-rothenburg,https://www.tvmaze.com/episodes/525268/rick-steves-europe-2x12-germanys-romantic-rhine-and-rothenburg,525268
29,2,13,S02E13,Munich and the Foothills of the Alps,"Baroque palaces and lively markets in Munich, Germany; a visit to a Bavarian village; castles of Mad King Ludwig.",Art & Architecture; History & Heritage; Nature & Outdoors,Standard,No,Germany,Germany,Western Europe,Munich,DE,🇩🇪,48.1371079,11.5753822,full,2002-12-29,2002,Dec,Sun,847,7,tt1457633,https://www.imdb.com/title/tt1457633/,7.6,21,7.677704194260486,FALSE,https://i1.ytimg.com/vi/1HahN6f3Xy8/maxresdefault.jpg,ricksteves.com,"In Munich, where locals specialize in good living, we visit boisterous markets and go-for-Baroque palaces, while office workers surf in the Isar River. Heading into the foothills of the Alps, we tour the fairy-tale castles of ""Mad"" King Ludwig, and cross into Tirol to conquer a desolate ruined castle. Then we climb atop the Zugspitze, the highest point in Germany.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/munich,https://www.tvmaze.com/episodes/525269/rick-steves-europe-2x13-munich-and-the-foothills-of-the-alps,525269
30,2,14,S02E14,Switzerland's Jungfrau Region: Best of the Alps,"Hiking, biking and parasailing in the Swiss Alps; riding Europe's highest lift up the Jungfrau.",Nature & Outdoors,Standard,No,Switzerland,Switzerland,Alpine,Jungfrau Region,CH,🇨🇭,46.5367739,7.9625907,full,2003-01-05,2003,Jan,Sun,854,7,tt1457636,https://www.imdb.com/title/tt1457636/,7.6,23,7.674397632802592,FALSE,https://i1.ytimg.com/vi/UFxqMPmxsDA/maxresdefault.jpg,ricksteves.com,"If Heidi is alive, she's in this sky-high corner of the Swiss Alps, with cowbells ringing on breathtaking ridges. After settling into a traditional village where locals scythe hay by hand, we hike and bike. We blast an alphorn, get sprayed by waterfalls raging deep inside a mountain, and savor local cheese at 10,000 feet. For a finale, we ride Europe's highest railway up the mighty Jungfrau for hot cocoa, glacier sledding, and oh-wow views.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/best-of-the-alps,https://www.tvmaze.com/episodes/525270/rick-steves-europe-2x14-switzerlands-jungfrau-region-best-of-the-alps,525270
31,3,1,S03E01,The Majesty of Madrid,"Madrid, Spain; museums; Picasso masterpiece; flamenco dancers.",Art & Architecture; Music & Festivals,Standard,No,Spain,Spain,Iberia,Madrid,ES,🇪🇸,40.416782,-3.703507,full,2004-10-03,2004,Oct,Sun,1491,637,tt1453779,https://www.imdb.com/title/tt1453779/,7.7,25,7.722381402892283,FALSE,https://i1.ytimg.com/vi/hifYpfW4NjI/maxresdefault.jpg,ricksteves.com,"In this program we wander the Plaza Mayor, ogle the lavish Royal Palace, rub shoulders with aficionados at a bull bar, ponder perplexing art at the Prado Museum, stare down a flamenco dancer, take in the cost of Spain's civil war at the Valley of the Fallen, look deep into Picasso's greatest work — Guernica — at the Centro Reina Sofía, and munch on pigs' ears in a ""tapa tango.""
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/the-majesty-of-madrid,https://www.tvmaze.com/episodes/525274/rick-steves-europe-3x01-spain-the-majesty-of-madrid,525274
32,3,2,S03E02,Highlights of Castile: Toledo and Salamanca,Castile; pickles; medieval walls; bachelorette party; troubadours.,History & Heritage,Standard,No,Spain,Spain,Iberia,Toledo and Salamanca,ES,🇪🇸,40.9506371,-5.6924315,full,2004-10-10,2004,Oct,Sun,1498,7,tt1453772,https://www.imdb.com/title/tt1453772/,7.5,23,7.625461462589827,FALSE,https://i1.ytimg.com/vi/P1lk1vEIlLM/maxresdefault.jpg,ricksteves.com,"We roam the region of Castile, starting in Toledo — so well-preserved and packed with cultural wonder that the entire city has been declared a national monument, on to Segovia for a festive day out with the locals, then to Ávila for a dose of medieval architecture, finishing with a traditional stroll in Salamanca's Plaza Mayor.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/toledo-and-salamanca,https://www.tvmaze.com/episodes/525275/rick-steves-europe-3x02-spain-highlights-of-castile-toledo-and-salamanca,525275
